disease,symptoms,specialization,severity,min_age,max_age,gender_prevalence
Infertility,"Irregular Periods,Hormonal Imbalance,Fatigue,Weight Gain,Low Libido",Gynecology,Moderate,15,50,both
Cervical Cancer,"Abnormal Bleeding,Pelvic Pain,Fatigue,Weight Loss,Vaginal Discharge",Gynecology,Critical,40,100,female
Prostate Cancer,"Frequent Urination,Blood in Urine,Erectile Dysfunction,Back Pain,Fatigue",Urology,Critical,40,100,male
Kidney Stones,"Abdominal Pain,Blood in Urine,Fever,Nausea,Painful Urination",Urology,Moderate,0,100,both
Sleep Apnea,"Snoring,Fatigue,Headache,Dry Mouth,Restlessness",Pulmonology,Moderate,0,100,both
Whooping Cough,"Chronic Cough,Fatigue,Vomiting,Cold Symptoms,Fever",Pulmonology,Moderate,0,100,both
Pleurisy,"Chest Pain,Shortness of Breath,Cough,Fever,Shoulder Pain",Pulmonology,Moderate,0,100,both
Anemia,"Fatigue,Pale Skin,Dizziness,Shortness of Breath,Cold Hands",General,Moderate,0,100,both
Hemophilia,"Bleeding,Bruising,Joint Pain,Swelling,Fatigue",Hematology,Critical,0,100,both
Sickle Cell Anemia,"Fatigue,Pain Episodes,Dizziness,Swelling,Fever",Hematology,Critical,0,100,both
Varicose Veins,"Swelling,Fatigue,Cramping,Pain,Visible Veins",Vascular Surgery,Moderate,0,100,both
Deep Vein Thrombosis,"Swelling,Pain,Warmth,Redness,Fatigue",Vascular Surgery,Critical,0,100,both
Chikungunya,"Joint Pain,Fever,Rash,Muscle Pain,Fatigue",General,Moderate,0,100,both
Hives,"Itching,Rash,Swelling,Redness,Dry Skin",Dermatology,Mild,0,100,both
Allergic Rhinitis,"Sneezing,Nasal Congestion,Runny Nose,Itchy Eyes,Fatigue",ENT,Mild,0,100,both
Raynaud’s Disease,"Cold Fingers,Numbness,Pain,Color Changes,Swelling",Rheumatology,Moderate,0,100,both
Bell’s Palsy,"Facial Drooping,Dizziness,Eye Irritation,Dry Mouth,Headache",Neurology,Moderate,0,100,both
Tonsil Stones,"Bad Breath,Sore Throat,Difficulty Swallowing,White Debris,Ear Pain",ENT,Mild,0,100,both
ACL Tear,"Knee Pain,Swelling,Instability,Limited Motion,Popping Sensation",Orthopedics,Moderate,0,100,both
Plantar Fasciitis,"Heel Pain,Stiffness,Fatigue,Foot Pain,Worsens with Activity",Orthopedics,Mild,0,100,both
Gout,"Joint Pain,Swelling,Redness,Warmth,Fever",Rheumatology,Moderate,40,100,both
Sarcoidosis,"Fatigue,Dry Cough,Skin Lesions,Swollen Lymph Nodes,Eye Redness",Pulmonology,Moderate,0,100,both
Silicosis,"Shortness of Breath,Cough,Fatigue,Chest Pain,Fever",Pulmonology,Critical,0,100,both
Histoplasmosis,"Fever,Cough,Chest Pain,Fatigue,Weight Loss",Pulmonology,Moderate,0,100,both
Legionnaires’ Disease,"Fever,Cough,Shortness of Breath,Muscle Aches,Diarrhea",Pulmonology,Critical,0,100,both
Barrett’s Esophagus,"Heartburn,Chest Pain,Difficulty Swallowing,Cough,Nausea",Gastroenterology,Moderate,0,100,both
Achalasia,"Difficulty Swallowing,Regurgitation,Chest Pain,Cough,Weight Loss",Gastroenterology,Moderate,0,100,both
Wilson’s Disease,"Jaundice,Tremors,Fatigue,Memory Loss,Swelling",Hepatology,Critical,0,100,both
Cirrhosis,"Fatigue,Jaundice,Bruising,Swelling,Confusion",Hepatology,Critical,0,100,both
Esophageal Cancer,"Difficulty Swallowing,Chest Pain,Weight Loss,Hoarseness,Cough",Oncology,Critical,40,100,both
Thalassemia,"Fatigue,Pale Skin,Delayed Growth,Shortness of Breath,Swelling",Hematology,Moderate,0,100,both
Marfan Syndrome,"Tall Stature,Heart Murmurs,Joint Pain,Eye Issues,Fatigue",Cardiology,Moderate,0,100,both
Takayasu Arteritis,"Fatigue,Joint Pain,Chest Pain,Weight Loss,Fever",Rheumatology,Critical,0,100,both
Chagas Disease,"Fever,Swelling,Fatigue,Heart Palpitations,Digestive Problems",General,Critical,0,100,both
Giardiasis,"Diarrhea,Abdominal Pain,Bloating,Fatigue,Weight Loss",Gastroenterology,Mild,0,100,both
Trichomoniasis,"Vaginal Discharge,Itching,Frequent Urination,Painful Urination,Swelling",Gynecology,Mild,15,50,female
Pelvic Inflammatory Disease,"Pelvic Pain,Fever,Vaginal Discharge,Painful Urination,Bleeding",Gynecology,Moderate,15,50,female
Bacterial Vaginosis,"Discharge,Itching,Foul Odor,Burning Sensation,Swelling",Gynecology,Mild,15,50,female
Hydrocele,"Swelling,Painless Lump,Heaviness,Discomfort,Fatigue",Urology,Mild,0,100,male
Epididymitis,"Testicular Pain,Swelling,Fever,Painful Urination,Discharge",Urology,Moderate,0,100,male
Testicular Torsion,"Severe Pain,Swelling,Nausea,Fatigue,High-Riding Testicle",Urology,Critical,0,100,male
Bipolar Disorder,"Mood Swings,Fatigue,Hyperactivity,Depression,Insomnia",Psychiatry,Moderate,0,100,both
Schizophrenia,"Hallucinations,Delusions,Memory Loss,Confusion,Social Withdrawal",Psychiatry,Critical,0,100,both
Obsessive-Compulsive Disorder,"Repetitive Thoughts,Anxiety,Fatigue,Ritual Behaviors,Insomnia",Psychiatry,Moderate,0,100,both
Panic Disorder,"Palpitations,Chest Pain,Sweating,Numbness,Nausea",Psychiatry,Moderate,0,100,both
Borderline Personality Disorder,"Mood Instability,Impulsivity,Self-Harm,Depression,Fear of Abandonment",Psychiatry,Moderate,0,100,both
Conduct Disorder,"Aggressive Behavior,Rule Violation,Impulsivity,Anger Issues,Lying",Psychiatry,Moderate,0,100,both
Lactose Intolerance,"Bloating,Diarrhea,Abdominal Pain,Gas,Nausea",Gastroenterology,Mild,0,100,both
Crohn’s Disease,"Abdominal Pain,Diarrhea,Weight Loss,Fatigue,Fever",Gastroenterology,Moderate,0,100,both
Ulcerative Colitis,"Bloody Diarrhea,Abdominal Cramps,Fatigue,Weight Loss,Fever",Gastroenterology,Moderate,0,100,both
Ankylosing Spondylitis,"Back Pain,Stiffness,Fatigue,Joint Swelling,Reduced Flexibility",Rheumatology,Moderate,0,100,both
Interstitial Cystitis,"Pelvic Pain,Frequent Urination,Painful Urination,Bloating,Discomfort",Urology,Moderate,0,100,both
Renal Failure,"Fatigue,Swelling,Nausea,Confusion,Blood in Urine",Nephrology,Critical,0,100,both
Myasthenia Gravis,"Muscle Weakness,Drooping Eyelids,Fatigue,Slurred Speech,Breathing Difficulty",Neurology,Critical,0,100,both
ALS (Lou Gehrig’s Disease),"Muscle Weakness,Speech Issues,Fatigue,Breathing Problems,Paralysis",Neurology,Critical,0,100,both
Torticollis,"Neck Pain,Stiffness,Tilting Head,Dizziness,Limited Motion",Orthopedics,Mild,0,100,both
Burns,"Pain,Swelling,Redness,Blisters,Peeling Skin",General,Critical,0,100,both
Heatstroke,"High Fever,Dizziness,Confusion,Muscle Cramps,Seizures",General,Critical,0,100,both
Snow Blindness,"Blurred Vision,Eye Pain,Redness,Swelling,Photophobia",Ophthalmology,Moderate,0,100,both
Ear Barotrauma,"Ear Pain,Hearing Loss,Dizziness,Ringing,Nausea",ENT,Mild,0,100,both
Hypoglycemia,"Sweating,Fatigue,Confusion,Blurred Vision,Shaking",Endocrinology,Critical,0,100,both
Hyperkalemia,"Palpitations,Nausea,Muscle Weakness,Numbness,Irregular Heartbeat",Nephrology,Critical,0,100,both
Hypernatremia,"Thirst,Confusion,Fatigue,Swelling,Seizures",Nephrology,Critical,0,100,both
Carbon Monoxide Poisoning,"Headache,Dizziness,Nausea,Fatigue,Confusion",General,Critical,0,100,both
Sepsis,"Fever,Rapid Heartbeat,Low Blood Pressure,Fatigue,Confusion",General,Critical,0,100,both
